province;province_initials;region;year;sector;energy_consumption;total_energy_consumption
Agrigento;AG;Sicilia;2000;Agricoltura;23;991
Agrigento;AG;Sicilia;2000;Domestico;459;991
Agrigento;AG;Sicilia;2000;Industria;220;991
Agrigento;AG;Sicilia;2000;Servizi;286;991
Agrigento;AG;Sicilia;2001;Agricoltura;23;1006
Agrigento;AG;Sicilia;2001;Domestico;459;1006
Agrigento;AG;Sicilia;2001;Industria;231;1006
Agrigento;AG;Sicilia;2001;Servizi;291;1006
Agrigento;AG;Sicilia;2002;Agricoltura;23;1032
Agrigento;AG;Sicilia;2002;Domestico;470;1032
Agrigento;AG;Sicilia;2002;Industria;232;1032
Agrigento;AG;Sicilia;2002;Servizi;305;1032
Agrigento;AG;Sicilia;2003;Agricoltura;22;1070
Agrigento;AG;Sicilia;2003;Domestico;480;1070
Agrigento;AG;Sicilia;2003;Industria;245;1070
Agrigento;AG;Sicilia;2003;Servizi;322;1070
Agrigento;AG;Sicilia;2004;Agricoltura;20;1070
Agrigento;AG;Sicilia;2004;Domestico;495;1070
Agrigento;AG;Sicilia;2004;Industria;230;1070
Agrigento;AG;Sicilia;2004;Servizi;323;1070
Agrigento;AG;Sicilia;2005;Agricoltura;23;1131
Agrigento;AG;Sicilia;2005;Domestico;509;1131
Agrigento;AG;Sicilia;2005;Industria;242;1131
Agrigento;AG;Sicilia;2005;Servizi;355;1131
Agrigento;AG;Sicilia;2006;Agricoltura;26;1157
Agrigento;AG;Sicilia;2006;Domestico;517;1157
Agrigento;AG;Sicilia;2006;Industria;242;1157
Agrigento;AG;Sicilia;2006;Servizi;371;1157
Agrigento;AG;Sicilia;2007;Agricoltura;27;1177
Agrigento;AG;Sicilia;2007;Domestico;507;1177
Agrigento;AG;Sicilia;2007;Industria;259;1177
Agrigento;AG;Sicilia;2007;Servizi;383;1177
Agrigento;AG;Sicilia;2008;Agricoltura;27;1166
Agrigento;AG;Sicilia;2008;Domestico;497;1166
Agrigento;AG;Sicilia;2008;Industria;265;1166
Agrigento;AG;Sicilia;2008;Servizi;376;1166
Agrigento;AG;Sicilia;2009;Agricoltura;24;1143
Agrigento;AG;Sicilia;2009;Domestico;503;1143
Agrigento;AG;Sicilia;2009;Industria;231;1143
Agrigento;AG;Sicilia;2009;Servizi;384;1143
Agrigento;AG;Sicilia;2010;Agricoltura;24;1161
Agrigento;AG;Sicilia;2010;Domestico;508;1161
Agrigento;AG;Sicilia;2010;Industria;222;1161
Agrigento;AG;Sicilia;2010;Servizi;405;1161
Agrigento;AG;Sicilia;2011;Agricoltura;25;1153
Agrigento;AG;Sicilia;2011;Domestico;518;1153
Agrigento;AG;Sicilia;2011;Industria;202;1153
Agrigento;AG;Sicilia;2011;Servizi;407;1153
Agrigento;AG;Sicilia;2012;Agricoltura;27;1139
Agrigento;AG;Sicilia;2012;Domestico;522;1139
Agrigento;AG;Sicilia;2012;Industria;161;1139
Agrigento;AG;Sicilia;2012;Servizi;427;1139
Agrigento;AG;Sicilia;2013;Agricoltura;25;1071
Agrigento;AG;Sicilia;2013;Domestico;494;1071
Agrigento;AG;Sicilia;2013;Industria;135;1071
Agrigento;AG;Sicilia;2013;Servizi;417;1071
Agrigento;AG;Sicilia;2014;Agricoltura;24;1030
Agrigento;AG;Sicilia;2014;Domestico;475;1030
Agrigento;AG;Sicilia;2014;Industria;125;1030
Agrigento;AG;Sicilia;2014;Servizi;405;1030
Agrigento;AG;Sicilia;2015;Agricoltura;25;1042
Agrigento;AG;Sicilia;2015;Domestico;478;1042
Agrigento;AG;Sicilia;2015;Industria;128;1042
Agrigento;AG;Sicilia;2015;Servizi;409;1042
Agrigento;AG;Sicilia;2016;Agricoltura;27;1017
Agrigento;AG;Sicilia;2016;Domestico;460;1017
Agrigento;AG;Sicilia;2016;Industria;126;1017
Agrigento;AG;Sicilia;2016;Servizi;403;1017
Agrigento;AG;Sicilia;2017;Agricoltura;30;1047
Agrigento;AG;Sicilia;2017;Domestico;473;1047
Agrigento;AG;Sicilia;2017;Industria;130;1047
Agrigento;AG;Sicilia;2017;Servizi;413;1047
Agrigento;AG;Sicilia;2018;Agricoltura;29;1037
Agrigento;AG;Sicilia;2018;Domestico;464;1037
Agrigento;AG;Sicilia;2018;Industria;136;1037
Agrigento;AG;Sicilia;2018;Servizi;407;1037
Agrigento;AG;Sicilia;2019;Agricoltura;33;1054
Agrigento;AG;Sicilia;2019;Domestico;466;1054
Agrigento;AG;Sicilia;2019;Industria;162;1054
Agrigento;AG;Sicilia;2019;Servizi;391;1054
Agrigento;AG;Sicilia;2020;Agricoltura;41;1013
Agrigento;AG;Sicilia;2020;Domestico;475;1013
Agrigento;AG;Sicilia;2020;Industria;169;1013
Agrigento;AG;Sicilia;2020;Servizi;328;1013
Agrigento;AG;Sicilia;2021;Agricoltura;42;1062
Agrigento;AG;Sicilia;2021;Domestico;495;1062
Agrigento;AG;Sicilia;2021;Industria;156;1062
Agrigento;AG;Sicilia;2021;Servizi;367;1062
Agrigento;AG;Sicilia;2022;Agricoltura;42;1056
Agrigento;AG;Sicilia;2022;Domestico;480;1056
Agrigento;AG;Sicilia;2022;Industria;151;1056
Agrigento;AG;Sicilia;2022;Servizi;381;1056
Alessandria;AL;Piemonte;2000;Agricoltura;22;2616
Alessandria;AL;Piemonte;2000;Domestico;467;2616
Alessandria;AL;Piemonte;2000;Industria;1700;2616
Alessandria;AL;Piemonte;2000;Servizi;426;2616
Alessandria;AL;Piemonte;2001;Agricoltura;24;2657
Alessandria;AL;Piemonte;2001;Domestico;476;2657
Alessandria;AL;Piemonte;2001;Industria;1707;2657
Alessandria;AL;Piemonte;2001;Servizi;448;2657
Alessandria;AL;Piemonte;2002;Agricoltura;23;2692
Alessandria;AL;Piemonte;2002;Domestico;480;2692
Alessandria;AL;Piemonte;2002;Industria;1718;2692
Alessandria;AL;Piemonte;2002;Servizi;469;2692
Alessandria;AL;Piemonte;2003;Agricoltura;25;2750
Alessandria;AL;Piemonte;2003;Domestico;491;2750
Alessandria;AL;Piemonte;2003;Industria;1724;2750
Alessandria;AL;Piemonte;2003;Servizi;509;2750
Alessandria;AL;Piemonte;2004;Agricoltura;28;2967
Alessandria;AL;Piemonte;2004;Domestico;504;2967
Alessandria;AL;Piemonte;2004;Industria;1888;2967
Alessandria;AL;Piemonte;2004;Servizi;545;2967
Alessandria;AL;Piemonte;2005;Agricoltura;27;2896
Alessandria;AL;Piemonte;2005;Domestico;499;2896
Alessandria;AL;Piemonte;2005;Industria;1803;2896
Alessandria;AL;Piemonte;2005;Servizi;566;2896
Alessandria;AL;Piemonte;2006;Agricoltura;29;2991
Alessandria;AL;Piemonte;2006;Domestico;505;2991
Alessandria;AL;Piemonte;2006;Industria;1857;2991
Alessandria;AL;Piemonte;2006;Servizi;598;2991
Alessandria;AL;Piemonte;2007;Agricoltura;30;3087
Alessandria;AL;Piemonte;2007;Domestico;503;3087
Alessandria;AL;Piemonte;2007;Industria;1926;3087
Alessandria;AL;Piemonte;2007;Servizi;627;3087
Alessandria;AL;Piemonte;2008;Agricoltura;28;3054
Alessandria;AL;Piemonte;2008;Domestico;505;3054
Alessandria;AL;Piemonte;2008;Industria;1872;3054
Alessandria;AL;Piemonte;2008;Servizi;649;3054
Alessandria;AL;Piemonte;2009;Agricoltura;31;2889
Alessandria;AL;Piemonte;2009;Domestico;521;2889
Alessandria;AL;Piemonte;2009;Industria;1651;2889
Alessandria;AL;Piemonte;2009;Servizi;683;2889
Alessandria;AL;Piemonte;2010;Agricoltura;32;2987
Alessandria;AL;Piemonte;2010;Domestico;516;2987
Alessandria;AL;Piemonte;2010;Industria;1753;2987
Alessandria;AL;Piemonte;2010;Servizi;685;2987
Alessandria;AL;Piemonte;2011;Agricoltura;34;3011
Alessandria;AL;Piemonte;2011;Domestico;507;3011
Alessandria;AL;Piemonte;2011;Industria;1788;3011
Alessandria;AL;Piemonte;2011;Servizi;680;3011
Alessandria;AL;Piemonte;2012;Agricoltura;38;2948
Alessandria;AL;Piemonte;2012;Domestico;502;2948
Alessandria;AL;Piemonte;2012;Industria;1713;2948
Alessandria;AL;Piemonte;2012;Servizi;693;2948
Alessandria;AL;Piemonte;2013;Agricoltura;33;2929
Alessandria;AL;Piemonte;2013;Domestico;486;2929
Alessandria;AL;Piemonte;2013;Industria;1706;2929
Alessandria;AL;Piemonte;2013;Servizi;703;2929
Alessandria;AL;Piemonte;2014;Agricoltura;32;2866
Alessandria;AL;Piemonte;2014;Domestico;468;2866
Alessandria;AL;Piemonte;2014;Industria;1672;2866
Alessandria;AL;Piemonte;2014;Servizi;693;2866
Alessandria;AL;Piemonte;2015;Agricoltura;33;2907
Alessandria;AL;Piemonte;2015;Domestico;474;2907
Alessandria;AL;Piemonte;2015;Industria;1677;2907
Alessandria;AL;Piemonte;2015;Servizi;721;2907
Alessandria;AL;Piemonte;2016;Agricoltura;34;2890
Alessandria;AL;Piemonte;2016;Domestico;463;2890
Alessandria;AL;Piemonte;2016;Industria;1646;2890
Alessandria;AL;Piemonte;2016;Servizi;745;2890
Alessandria;AL;Piemonte;2017;Agricoltura;36;2884
Alessandria;AL;Piemonte;2017;Domestico;466;2884
Alessandria;AL;Piemonte;2017;Industria;1629;2884
Alessandria;AL;Piemonte;2017;Servizi;751;2884
