year;hydroelectric;thermoelectric;geothermal;nuclear;solar;total_energy_produced;total_energy_required;yearly_variation
1883;0,0;0,7;0,0;0,0;0,0;0,7;0,7;0,0
1884;0,0;1,8;0,0;0,0;0,0;1,8;1,7;1,4
1885;0,0;2,5;0,0;0,0;0,0;2,5;2,4;0,4
1886;0,0;3,0;0,0;0,0;0,0;3,0;2,8;0,2
1887;0,2;3,3;0,0;0,0;0,0;3,5;3,3;0,2
1888;0,5;4,5;0,0;0,0;0,0;5,0;4,7;0,4
1889;0,9;5,1;0,0;0,0;0,0;6,0;5,7;0,2
1890;1,0;7,0;0,0;0,0;0,0;8,0;7,6;0,3
1891;1,3;13,7;0,0;0,0;0,0;15,0;14,2;0,9
1892;3,0;19,0;0,0;0,0;0,0;22,0;20,9;0,5
1893;8,0;20,0;0,0;0,0;0,0;28,0;26,8;0,3
1894;10,0;23,0;0,0;0,0;0,0;33,0;31,7;0,2
1895;19,5;25,5;0,0;0,0;0,0;45,0;43,5;0,4
1896;22,0;28,0;0,0;0,0;0,0;50,0;48,3;0,1
1897;44,0;31,0;0,0;0,0;0,0;75,0;73,0;0,5
1898;66,0;34,0;0,0;0,0;0,0;100,0;97,8;0,3
1899;90,0;50,0;0,0;0,0;0,0;140,0;136,8;0,4
1900;110,0;50,0;0,0;0,0;0,0;160,0;157,0;0,1
1901;160,0;60,0;0,0;0,0;0,0;220,0;216,0;0,4
1902;220,0;80,0;0,0;0,0;0,0;300,0;294,0;0,4
1903;300,0;100,0;0,0;0,0;0,0;400,0;393,0;0,3
1904;350,0;100,0;0,0;0,0;0,0;450,0;442,0;0,1
1905;400,0;150,0;0,0;0,0;0,0;550,0;540,0;0,2
1906;550,0;150,0;0,0;0,0;0,0;700,0;689,0;0,3
1907;800,0;150,0;0,0;0,0;0,0;950,0;938,0;0,4
1908;975,0;175,0;0,0;0,0;0,0;1150,0;1135,0;0,2
1909;1100,0;200,0;0,0;0,0;0,0;1300,0;1283,0;0,1
1910;1250,0;250,0;0,0;0,0;0,0;1500,0;1480,0;0,2
1911;1500,0;300,0;0,0;0,0;0,0;1800,0;1776,0;0,2
1912;1750,0;250,0;0,0;0,0;0,0;2000,0;1977,0;0,1
1913;2000,0;200,0;0,0;0,0;0,0;2200,0;2179,0;0,1
1914;2325,0;250,0;0,0;0,0;0,0;2575,0;2549,0;0,2
1915;2625,0;300,0;0,0;0,0;0,0;2925,0;2895,0;0,1
1916;3225,0;188,0;12,0;0,0;0,0;3425,0;3397,0;0,2
1917;3775,0;205,0;20,0;0,0;0,0;4000,0;3968,0;0,2
1918;4100,0;179,0;21,0;0,0;0,0;4300,0;4269,0;0,1
1919;3790,0;196,0;14,0;0,0;0,0;4000,0;3969,0;-0,1
1920;4520,0;163,0;7,0;0,0;0,0;4690,0;4658,0;0,2
